epoch=1 env_step=2000 gradient_step=125 train_rew=-0.308972 train_len=27 n_ep=1 n_st=16 loss=0.695369 loss_clip=0.003587 loss_ent=0.969953 loss_vf=1.385505 test_reward=-0.394883 test_reward_std=0.198596 best_reward=-0.289279 best_reward_std=0.232808 best_epoch=0
epoch=2 env_step=4000 gradient_step=250 train_rew=-0.499805 train_len=24 n_ep=1 n_st=16 loss=0.090003 loss_clip=-0.001816 loss_ent=1.225870 loss_vf=0.186090 test_reward=-0.279442 test_reward_std=0.217714 best_reward=-0.279442 best_reward_std=0.217714 best_epoch=2
epoch=3 env_step=6000 gradient_step=375 train_rew=-0.149976 train_len=25 n_ep=0 n_st=16 loss=0.167336 loss_clip=-0.001505 loss_ent=1.106954 loss_vf=0.339895 test_reward=-0.386473 test_reward_std=0.188777 best_reward=-0.279442 best_reward_std=0.217714 best_epoch=2
epoch=4 env_step=8000 gradient_step=500 train_rew=-0.306983 train_len=28 n_ep=0 n_st=16 loss=0.087722 loss_clip=-0.004292 loss_ent=0.980524 loss_vf=0.185989 test_reward=-0.286293 test_reward_std=0.166349 best_reward=-0.279442 best_reward_std=0.217714 best_epoch=2
epoch=5 env_step=10000 gradient_step=625 train_rew=-0.894616 train_len=34 n_ep=0 n_st=16 loss=0.013450 loss_clip=-0.000862 loss_ent=0.922262 loss_vf=0.030470 test_reward=-0.318426 test_reward_std=0.153413 best_reward=-0.279442 best_reward_std=0.217714 best_epoch=2
epoch=6 env_step=12000 gradient_step=750 train_rew=-0.357940 train_len=26 n_ep=2 n_st=16 loss=0.055817 loss_clip=0.003596 loss_ent=0.980589 loss_vf=0.106404 test_reward=-0.302236 test_reward_std=0.218375 best_reward=-0.279442 best_reward_std=0.217714 best_epoch=2
epoch=7 env_step=14000 gradient_step=875 train_rew=-0.233200 train_len=24 n_ep=0 n_st=16 loss=0.022652 loss_clip=0.001234 loss_ent=0.930053 loss_vf=0.044696 test_reward=-0.208095 test_reward_std=0.172195 best_reward=-0.208095 best_reward_std=0.172195 best_epoch=7
epoch=8 env_step=16000 gradient_step=1000 train_rew=-0.293054 train_len=19 n_ep=1 n_st=16 loss=0.022228 loss_clip=0.000210 loss_ent=0.867349 loss_vf=0.045771 test_reward=-0.327400 test_reward_std=0.224062 best_reward=-0.208095 best_reward_std=0.172195 best_epoch=7
epoch=9 env_step=18000 gradient_step=1125 train_rew=-0.359717 train_len=23 n_ep=0 n_st=16 loss=0.010375 loss_clip=-0.003181 loss_ent=0.802531 loss_vf=0.028717 test_reward=-0.284248 test_reward_std=0.239748 best_reward=-0.208095 best_reward_std=0.172195 best_epoch=7
epoch=10 env_step=20000 gradient_step=1250 train_rew=-0.143522 train_len=23 n_ep=0 n_st=16 loss=0.017147 loss_clip=-0.000088 loss_ent=0.715035 loss_vf=0.035899 test_reward=-0.302890 test_reward_std=0.212213 best_reward=-0.208095 best_reward_std=0.172195 best_epoch=7
epoch=11 env_step=22000 gradient_step=1375 train_rew=-0.385784 train_len=25 n_ep=1 n_st=16 loss=0.020861 loss_clip=0.004296 loss_ent=0.688569 loss_vf=0.034506 test_reward=-0.393581 test_reward_std=0.236197 best_reward=-0.208095 best_reward_std=0.172195 best_epoch=7
