epoch=1 env_step=2000 gradient_step=125 train_rew=0.321790 train_len=17 n_ep=1 n_st=16 loss=0.140804 loss_clip=-0.007768 loss_ent=0.826571 loss_vf=0.298798 test_reward=0.074642 test_reward_std=0.074474 best_reward=0.129810 best_reward_std=0.154743 best_epoch=0
epoch=2 env_step=4000 gradient_step=250 train_rew=0.103154 train_len=23 n_ep=2 n_st=16 loss=0.122327 loss_clip=0.006807 loss_ent=0.681521 loss_vf=0.232402 test_reward=0.197288 test_reward_std=0.116445 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=3 env_step=6000 gradient_step=375 train_rew=0.226528 train_len=22 n_ep=0 n_st=16 loss=0.085273 loss_clip=0.002684 loss_ent=0.741913 loss_vf=0.166663 test_reward=0.071834 test_reward_std=0.179651 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=4 env_step=8000 gradient_step=500 train_rew=0.178750 train_len=29 n_ep=1 n_st=16 loss=0.022851 loss_clip=0.001271 loss_ent=0.831888 loss_vf=0.044824 test_reward=0.140525 test_reward_std=0.146713 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=5 env_step=10000 gradient_step=625 train_rew=-0.031569 train_len=31 n_ep=1 n_st=16 loss=0.027662 loss_clip=0.000781 loss_ent=0.948409 loss_vf=0.055660 test_reward=0.098195 test_reward_std=0.134458 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=6 env_step=12000 gradient_step=750 train_rew=-0.005903 train_len=27 n_ep=1 n_st=16 loss=0.072442 loss_clip=0.001425 loss_ent=0.958386 loss_vf=0.143949 test_reward=0.170641 test_reward_std=0.079525 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=7 env_step=14000 gradient_step=875 train_rew=-0.011411 train_len=30 n_ep=1 n_st=16 loss=0.017335 loss_clip=-0.000121 loss_ent=0.908959 loss_vf=0.036731 test_reward=0.170750 test_reward_std=0.116970 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=8 env_step=16000 gradient_step=1000 train_rew=0.032499 train_len=16 n_ep=0 n_st=16 loss=0.009493 loss_clip=0.000698 loss_ent=0.776773 loss_vf=0.019143 test_reward=0.142319 test_reward_std=0.096629 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=9 env_step=18000 gradient_step=1125 train_rew=0.090574 train_len=25 n_ep=2 n_st=16 loss=0.006587 loss_clip=0.000355 loss_ent=0.922805 loss_vf=0.014309 test_reward=0.138054 test_reward_std=0.143490 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=10 env_step=20000 gradient_step=1250 train_rew=0.039833 train_len=29 n_ep=1 n_st=16 loss=0.006070 loss_clip=0.000185 loss_ent=0.901629 loss_vf=0.013573 test_reward=0.145586 test_reward_std=0.115162 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=11 env_step=22000 gradient_step=1375 train_rew=0.130369 train_len=17 n_ep=2 n_st=16 loss=0.012324 loss_clip=-0.002754 loss_ent=0.874504 loss_vf=0.031904 test_reward=0.129256 test_reward_std=0.097705 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=12 env_step=24000 gradient_step=1500 train_rew=0.164431 train_len=16 n_ep=0 n_st=16 loss=0.025149 loss_clip=0.000022 loss_ent=0.838099 loss_vf=0.051929 test_reward=0.143072 test_reward_std=0.090088 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=13 env_step=26000 gradient_step=1625 train_rew=0.014434 train_len=35 n_ep=1 n_st=16 loss=0.010856 loss_clip=-0.000768 loss_ent=0.817381 loss_vf=0.024882 test_reward=0.136798 test_reward_std=0.153122 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=14 env_step=28000 gradient_step=1750 train_rew=0.066114 train_len=18 n_ep=1 n_st=16 loss=0.096251 loss_clip=0.001533 loss_ent=0.874950 loss_vf=0.191186 test_reward=0.120373 test_reward_std=0.072586 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=15 env_step=30000 gradient_step=1875 train_rew=0.272907 train_len=22 n_ep=0 n_st=16 loss=0.146689 loss_clip=0.007880 loss_ent=1.015710 loss_vf=0.279649 test_reward=0.175341 test_reward_std=0.069006 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=16 env_step=32000 gradient_step=2000 train_rew=-0.037586 train_len=26 n_ep=1 n_st=16 loss=0.008529 loss_clip=0.000224 loss_ent=1.008890 loss_vf=0.018629 test_reward=0.098438 test_reward_std=0.146056 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=17 env_step=34000 gradient_step=2125 train_rew=0.165043 train_len=19 n_ep=1 n_st=16 loss=0.003282 loss_clip=0.001061 loss_ent=0.925268 loss_vf=0.006292 test_reward=0.091465 test_reward_std=0.149362 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=18 env_step=36000 gradient_step=2250 train_rew=0.046531 train_len=23 n_ep=2 n_st=16 loss=0.007103 loss_clip=-0.000181 loss_ent=0.915970 loss_vf=0.016401 test_reward=0.117836 test_reward_std=0.115986 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=19 env_step=38000 gradient_step=2375 train_rew=0.053101 train_len=18 n_ep=2 n_st=16 loss=0.002249 loss_clip=0.000458 loss_ent=0.985200 loss_vf=0.005552 test_reward=0.130220 test_reward_std=0.130279 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=20 env_step=40000 gradient_step=2500 train_rew=0.185329 train_len=26 n_ep=1 n_st=16 loss=0.002725 loss_clip=-0.000713 loss_ent=1.061285 loss_vf=0.008998 test_reward=0.097384 test_reward_std=0.073988 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=21 env_step=42000 gradient_step=2625 train_rew=0.142414 train_len=23 n_ep=1 n_st=16 loss=0.000630 loss_clip=-0.000923 loss_ent=1.017705 loss_vf=0.005141 test_reward=0.121052 test_reward_std=0.094312 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=22 env_step=44000 gradient_step=2750 train_rew=0.107556 train_len=21 n_ep=0 n_st=16 loss=0.104627 loss_clip=-0.002663 loss_ent=1.104774 loss_vf=0.216790 test_reward=0.107385 test_reward_std=0.123951 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=23 env_step=46000 gradient_step=2875 train_rew=0.143768 train_len=12 n_ep=0 n_st=16 loss=0.002153 loss_clip=-0.000781 loss_ent=1.243893 loss_vf=0.008354 test_reward=0.086387 test_reward_std=0.129960 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=24 env_step=48000 gradient_step=3000 train_rew=0.083778 train_len=22 n_ep=0 n_st=16 loss=0.008913 loss_clip=0.000102 loss_ent=1.230477 loss_vf=0.020084 test_reward=0.121252 test_reward_std=0.097637 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=25 env_step=50000 gradient_step=3125 train_rew=0.183405 train_len=24 n_ep=0 n_st=16 loss=0.002030 loss_clip=-0.000216 loss_ent=1.149904 loss_vf=0.006793 test_reward=0.141576 test_reward_std=0.125295 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=26 env_step=52000 gradient_step=3250 train_rew=0.170525 train_len=26 n_ep=1 n_st=16 loss=0.004886 loss_clip=-0.001578 loss_ent=1.125128 loss_vf=0.015179 test_reward=0.117866 test_reward_std=0.097364 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=27 env_step=54000 gradient_step=3375 train_rew=0.015949 train_len=24 n_ep=1 n_st=16 loss=0.002350 loss_clip=-0.001158 loss_ent=1.084802 loss_vf=0.009185 test_reward=0.109568 test_reward_std=0.089921 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=28 env_step=56000 gradient_step=3500 train_rew=0.168480 train_len=27 n_ep=0 n_st=16 loss=0.005762 loss_clip=-0.000347 loss_ent=1.020127 loss_vf=0.014258 test_reward=0.146630 test_reward_std=0.108380 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=29 env_step=58000 gradient_step=3625 train_rew=-0.004215 train_len=19 n_ep=2 n_st=16 loss=0.003887 loss_clip=0.000727 loss_ent=1.000146 loss_vf=0.008321 test_reward=0.124096 test_reward_std=0.100755 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=30 env_step=60000 gradient_step=3750 train_rew=0.133520 train_len=25 n_ep=2 n_st=16 loss=0.007040 loss_clip=-0.000174 loss_ent=0.926626 loss_vf=0.016281 test_reward=0.107916 test_reward_std=0.144353 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=31 env_step=62000 gradient_step=3875 train_rew=0.220363 train_len=22 n_ep=0 n_st=16 loss=0.011703 loss_clip=0.000359 loss_ent=0.940806 loss_vf=0.024569 test_reward=0.088870 test_reward_std=0.054123 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=32 env_step=64000 gradient_step=4000 train_rew=0.314153 train_len=18 n_ep=1 n_st=16 loss=0.007997 loss_clip=0.000384 loss_ent=0.702853 loss_vf=0.016631 test_reward=0.139188 test_reward_std=0.087787 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=33 env_step=66000 gradient_step=4125 train_rew=0.146737 train_len=22 n_ep=0 n_st=16 loss=0.001126 loss_clip=-0.000699 loss_ent=0.713967 loss_vf=0.005079 test_reward=0.096190 test_reward_std=0.154544 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
epoch=34 env_step=68000 gradient_step=4250 train_rew=-0.027772 train_len=29 n_ep=1 n_st=16 loss=0.003490 loss_clip=0.000782 loss_ent=0.724619 loss_vf=0.006867 test_reward=0.142352 test_reward_std=0.135016 best_reward=0.197288 best_reward_std=0.116445 best_epoch=2
