epoch=1 env_step=40320 gradient_step=315 train_rew=-0.316844 train_len=25 n_ep=25 n_st=640 loss=0.033135 loss_clip=0.007278 loss_ent=0.595326 loss_vf=0.052905 test_reward=-0.316049 test_reward_std=0.207113 best_reward=-0.316049 best_reward_std=0.207113 best_epoch=1
epoch=2 env_step=80640 gradient_step=630 train_rew=-0.289918 train_len=24 n_ep=28 n_st=640 loss=-0.008978 loss_clip=-0.018115 loss_ent=0.688512 loss_vf=0.019651 test_reward=-0.193160 test_reward_std=0.165840 best_reward=-0.193160 best_reward_std=0.165840 best_epoch=2
epoch=3 env_step=120960 gradient_step=945 train_rew=-0.179634 train_len=22 n_ep=36 n_st=640 loss=0.005345 loss_clip=-0.003149 loss_ent=0.814471 loss_vf=0.018616 test_reward=-0.281315 test_reward_std=0.217448 best_reward=-0.193160 best_reward_std=0.165840 best_epoch=2
epoch=4 env_step=161280 gradient_step=1260 train_rew=-0.211619 train_len=23 n_ep=28 n_st=640 loss=0.002945 loss_clip=-0.002933 loss_ent=0.687568 loss_vf=0.013131 test_reward=-0.089783 test_reward_std=0.194115 best_reward=-0.089783 best_reward_std=0.194115 best_epoch=4
epoch=5 env_step=201600 gradient_step=1575 train_rew=-0.183304 train_len=22 n_ep=22 n_st=640 loss=0.002938 loss_clip=-0.002042 loss_ent=0.741828 loss_vf=0.011445 test_reward=-0.237233 test_reward_std=0.141614 best_reward=-0.089783 best_reward_std=0.194115 best_epoch=4
epoch=6 env_step=241920 gradient_step=1890 train_rew=-0.063262 train_len=20 n_ep=35 n_st=640 loss=0.005803 loss_clip=0.002620 loss_ent=1.033339 loss_vf=0.008433 test_reward=-0.147476 test_reward_std=0.108082 best_reward=-0.089783 best_reward_std=0.194115 best_epoch=4
epoch=7 env_step=282240 gradient_step=2205 train_rew=-0.139260 train_len=20 n_ep=30 n_st=640 loss=-0.000618 loss_clip=-0.018547 loss_ent=0.845177 loss_vf=0.037547 test_reward=-0.112986 test_reward_std=0.114223 best_reward=-0.089783 best_reward_std=0.194115 best_epoch=4
epoch=8 env_step=322560 gradient_step=2520 train_rew=-0.153213 train_len=20 n_ep=27 n_st=640 loss=0.008151 loss_clip=0.004865 loss_ent=0.783929 loss_vf=0.008141 test_reward=-0.138488 test_reward_std=0.200232 best_reward=-0.089783 best_reward_std=0.194115 best_epoch=4
epoch=9 env_step=362880 gradient_step=2835 train_rew=-0.193671 train_len=19 n_ep=22 n_st=640 loss=-0.000971 loss_clip=-0.002793 loss_ent=0.760060 loss_vf=0.005164 test_reward=-0.074003 test_reward_std=0.167093 best_reward=-0.074003 best_reward_std=0.167093 best_epoch=9
epoch=10 env_step=403200 gradient_step=3150 train_rew=-0.064652 train_len=21 n_ep=31 n_st=640 loss=0.005921 loss_clip=-0.003492 loss_ent=0.687465 loss_vf=0.020199 test_reward=-0.032178 test_reward_std=0.128407 best_reward=-0.032178 best_reward_std=0.128407 best_epoch=10
epoch=11 env_step=443520 gradient_step=3465 train_rew=-0.125290 train_len=22 n_ep=32 n_st=640 loss=0.007333 loss_clip=-0.002515 loss_ent=0.775726 loss_vf=0.021247 test_reward=-0.045588 test_reward_std=0.152788 best_reward=-0.032178 best_reward_std=0.128407 best_epoch=10
