epoch=1 env_step=2000 gradient_step=125 train_rew=-0.010225 train_len=21 n_ep=0 n_st=16 loss=0.565891 loss_clip=-0.017957 loss_ent=0.870833 loss_vf=1.169438 test_reward=-0.096497 test_reward_std=0.135147 best_reward=-0.037826 best_reward_std=0.184578 best_epoch=0
epoch=2 env_step=4000 gradient_step=250 train_rew=-0.111411 train_len=26 n_ep=1 n_st=16 loss=0.046186 loss_clip=-0.007474 loss_ent=0.797843 loss_vf=0.108915 test_reward=0.034962 test_reward_std=0.158851 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=3 env_step=6000 gradient_step=375 train_rew=0.033444 train_len=20 n_ep=2 n_st=16 loss=0.209374 loss_clip=-0.001998 loss_ent=1.081215 loss_vf=0.424907 test_reward=-0.118790 test_reward_std=0.200318 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=4 env_step=8000 gradient_step=500 train_rew=0.040333 train_len=23 n_ep=0 n_st=16 loss=0.226551 loss_clip=-0.005811 loss_ent=1.352284 loss_vf=0.467429 test_reward=-0.064383 test_reward_std=0.147844 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=5 env_step=10000 gradient_step=625 train_rew=-0.459363 train_len=31 n_ep=0 n_st=16 loss=0.027122 loss_clip=0.002943 loss_ent=1.431921 loss_vf=0.051220 test_reward=-0.038661 test_reward_std=0.104745 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=6 env_step=12000 gradient_step=750 train_rew=-0.133464 train_len=27 n_ep=2 n_st=16 loss=0.040885 loss_clip=0.004123 loss_ent=1.418681 loss_vf=0.076361 test_reward=-0.028745 test_reward_std=0.132693 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=7 env_step=14000 gradient_step=875 train_rew=-0.317624 train_len=21 n_ep=1 n_st=16 loss=0.017242 loss_clip=-0.000956 loss_ent=1.302510 loss_vf=0.039001 test_reward=-0.037244 test_reward_std=0.154651 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=8 env_step=16000 gradient_step=1000 train_rew=0.034900 train_len=18 n_ep=2 n_st=16 loss=0.006429 loss_clip=-0.001908 loss_ent=1.330084 loss_vf=0.019333 test_reward=-0.014985 test_reward_std=0.128435 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=9 env_step=18000 gradient_step=1125 train_rew=-0.008109 train_len=19 n_ep=0 n_st=16 loss=0.009363 loss_clip=-0.000343 loss_ent=1.402542 loss_vf=0.022217 test_reward=-0.063624 test_reward_std=0.130803 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=10 env_step=20000 gradient_step=1250 train_rew=-0.188518 train_len=29 n_ep=1 n_st=16 loss=0.004237 loss_clip=0.000829 loss_ent=1.356261 loss_vf=0.009528 test_reward=-0.069584 test_reward_std=0.189407 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=11 env_step=22000 gradient_step=1375 train_rew=-0.082701 train_len=23 n_ep=1 n_st=16 loss=0.007264 loss_clip=0.001552 loss_ent=1.298295 loss_vf=0.014021 test_reward=-0.013341 test_reward_std=0.135837 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=12 env_step=24000 gradient_step=1500 train_rew=-0.146417 train_len=24 n_ep=1 n_st=16 loss=0.007412 loss_clip=0.000839 loss_ent=1.262466 loss_vf=0.015671 test_reward=-0.046451 test_reward_std=0.082883 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=13 env_step=26000 gradient_step=1625 train_rew=-0.056392 train_len=27 n_ep=0 n_st=16 loss=0.007019 loss_clip=0.001725 loss_ent=1.303990 loss_vf=0.013198 test_reward=-0.032942 test_reward_std=0.137409 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=14 env_step=28000 gradient_step=1750 train_rew=-0.001963 train_len=16 n_ep=0 n_st=16 loss=0.144094 loss_clip=0.000060 loss_ent=1.395789 loss_vf=0.290858 test_reward=-0.023352 test_reward_std=0.214700 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=15 env_step=30000 gradient_step=1875 train_rew=-0.286575 train_len=29 n_ep=0 n_st=16 loss=0.006793 loss_clip=-0.001299 loss_ent=1.293807 loss_vf=0.018772 test_reward=-0.078768 test_reward_std=0.090352 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=16 env_step=32000 gradient_step=2000 train_rew=0.028710 train_len=30 n_ep=2 n_st=16 loss=0.001653 loss_clip=-0.000581 loss_ent=1.203910 loss_vf=0.006876 test_reward=-0.051149 test_reward_std=0.124860 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=17 env_step=34000 gradient_step=2125 train_rew=-0.050799 train_len=26 n_ep=2 n_st=16 loss=0.005387 loss_clip=0.000016 loss_ent=1.254424 loss_vf=0.013251 test_reward=-0.058213 test_reward_std=0.134581 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
epoch=18 env_step=36000 gradient_step=2250 train_rew=0.073780 train_len=15 n_ep=1 n_st=16 loss=0.002289 loss_clip=-0.000664 loss_ent=1.029158 loss_vf=0.007964 test_reward=-0.061000 test_reward_std=0.096391 best_reward=0.034962 best_reward_std=0.158851 best_epoch=2
