epoch=1 env_step=2000 gradient_step=125 train_rew=-0.218168 train_len=17 n_ep=1 n_st=16 loss=0.155458 loss_clip=-0.013176 loss_ent=0.895448 loss_vf=0.339059 test_reward=-0.839822 test_reward_std=0.253153 best_reward=-0.708369 best_reward_std=0.317707 best_epoch=0
epoch=2 env_step=4000 gradient_step=250 train_rew=-0.743908 train_len=16 n_ep=0 n_st=16 loss=0.167324 loss_clip=0.000388 loss_ent=0.905607 loss_vf=0.335682 test_reward=-0.568125 test_reward_std=0.274302 best_reward=-0.568125 best_reward_std=0.274302 best_epoch=2
epoch=3 env_step=6000 gradient_step=375 train_rew=-0.575938 train_len=22 n_ep=0 n_st=16 loss=0.047446 loss_clip=-0.003568 loss_ent=0.748906 loss_vf=0.103525 test_reward=-0.750311 test_reward_std=0.176195 best_reward=-0.568125 best_reward_std=0.274302 best_epoch=2
epoch=4 env_step=8000 gradient_step=500 train_rew=-0.514845 train_len=28 n_ep=1 n_st=16 loss=0.156663 loss_clip=0.003959 loss_ent=0.781893 loss_vf=0.306973 test_reward=-0.721454 test_reward_std=0.258916 best_reward=-0.568125 best_reward_std=0.274302 best_epoch=2
epoch=5 env_step=10000 gradient_step=625 train_rew=-1.650910 train_len=36 n_ep=0 n_st=16 loss=0.029911 loss_clip=-0.002167 loss_ent=0.899789 loss_vf=0.065957 test_reward=-0.797121 test_reward_std=0.265052 best_reward=-0.568125 best_reward_std=0.274302 best_epoch=2
epoch=6 env_step=12000 gradient_step=750 train_rew=-0.949028 train_len=24 n_ep=0 n_st=16 loss=0.024833 loss_clip=0.001904 loss_ent=1.092728 loss_vf=0.048044 test_reward=-0.734258 test_reward_std=0.353140 best_reward=-0.568125 best_reward_std=0.274302 best_epoch=2
epoch=7 env_step=14000 gradient_step=875 train_rew=-0.774580 train_len=27 n_ep=0 n_st=16 loss=0.021670 loss_clip=0.000220 loss_ent=1.238238 loss_vf=0.045377 test_reward=-0.563567 test_reward_std=0.211013 best_reward=-0.563567 best_reward_std=0.211013 best_epoch=7
epoch=8 env_step=16000 gradient_step=1000 train_rew=-0.389788 train_len=14 n_ep=1 n_st=16 loss=0.071320 loss_clip=-0.001371 loss_ent=0.920916 loss_vf=0.147224 test_reward=-0.600110 test_reward_std=0.277653 best_reward=-0.563567 best_reward_std=0.211013 best_epoch=7
epoch=9 env_step=18000 gradient_step=1125 train_rew=-0.728217 train_len=20 n_ep=0 n_st=16 loss=0.015965 loss_clip=-0.001479 loss_ent=0.951960 loss_vf=0.036792 test_reward=-0.626107 test_reward_std=0.293289 best_reward=-0.563567 best_reward_std=0.211013 best_epoch=7
epoch=10 env_step=20000 gradient_step=1250 train_rew=-0.766356 train_len=26 n_ep=0 n_st=16 loss=0.015437 loss_clip=-0.001001 loss_ent=1.141909 loss_vf=0.035160 test_reward=-0.589594 test_reward_std=0.143002 best_reward=-0.563567 best_reward_std=0.211013 best_epoch=7
epoch=11 env_step=22000 gradient_step=1375 train_rew=-0.931965 train_len=17 n_ep=1 n_st=16 loss=0.016257 loss_clip=0.002241 loss_ent=1.316986 loss_vf=0.030666 test_reward=-0.602658 test_reward_std=0.122754 best_reward=-0.563567 best_reward_std=0.211013 best_epoch=7
epoch=12 env_step=24000 gradient_step=1500 train_rew=-0.325779 train_len=16 n_ep=1 n_st=16 loss=0.011409 loss_clip=-0.001762 loss_ent=1.277169 loss_vf=0.028898 test_reward=-0.693140 test_reward_std=0.242981 best_reward=-0.563567 best_reward_std=0.211013 best_epoch=7
epoch=13 env_step=26000 gradient_step=1625 train_rew=-0.371822 train_len=19 n_ep=0 n_st=16 loss=0.053939 loss_clip=-0.000598 loss_ent=0.957315 loss_vf=0.110987 test_reward=-0.651923 test_reward_std=0.271868 best_reward=-0.563567 best_reward_std=0.211013 best_epoch=7
epoch=14 env_step=28000 gradient_step=1750 train_rew=-0.392400 train_len=17 n_ep=1 n_st=16 loss=0.027720 loss_clip=0.003765 loss_ent=0.889337 loss_vf=0.049689 test_reward=-0.538377 test_reward_std=0.166437 best_reward=-0.538377 best_reward_std=0.166437 best_epoch=14
epoch=15 env_step=30000 gradient_step=1875 train_rew=-0.573346 train_len=20 n_ep=0 n_st=16 loss=0.015908 loss_clip=-0.003318 loss_ent=0.968007 loss_vf=0.040388 test_reward=-0.552458 test_reward_std=0.177923 best_reward=-0.538377 best_reward_std=0.166437 best_epoch=14
epoch=16 env_step=32000 gradient_step=2000 train_rew=-0.787441 train_len=29 n_ep=1 n_st=16 loss=0.015376 loss_clip=0.001010 loss_ent=1.105254 loss_vf=0.030943 test_reward=-0.601763 test_reward_std=0.247552 best_reward=-0.538377 best_reward_std=0.166437 best_epoch=14
epoch=17 env_step=34000 gradient_step=2125 train_rew=-0.513585 train_len=23 n_ep=1 n_st=16 loss=0.012712 loss_clip=-0.003164 loss_ent=1.049797 loss_vf=0.033852 test_reward=-0.657809 test_reward_std=0.192003 best_reward=-0.538377 best_reward_std=0.166437 best_epoch=14
epoch=18 env_step=36000 gradient_step=2250 train_rew=-0.711554 train_len=22 n_ep=1 n_st=16 loss=0.391443 loss_clip=0.001280 loss_ent=0.960666 loss_vf=0.782248 test_reward=-0.787642 test_reward_std=0.354133 best_reward=-0.538377 best_reward_std=0.166437 best_epoch=14
epoch=19 env_step=38000 gradient_step=2375 train_rew=-0.331858 train_len=22 n_ep=2 n_st=16 loss=0.017624 loss_clip=-0.000161 loss_ent=0.971749 loss_vf=0.037514 test_reward=-0.638696 test_reward_std=0.243129 best_reward=-0.538377 best_reward_std=0.166437 best_epoch=14
