epoch=21 env_step=846720 gradient_step=6615 train_rew=0.653381 train_len=27 n_ep=21 n_st=640 loss=0.000220 loss_clip=-0.000338 loss_ent=0.613248 loss_vf=0.002342 test_reward=0.707400 test_reward_std=0.080412 best_reward=0.708900 best_reward_std=0.061390 best_epoch=20
epoch=22 env_step=887040 gradient_step=6930 train_rew=0.719737 train_len=28 n_ep=19 n_st=640 loss=-0.004205 loss_clip=-0.004983 loss_ent=0.591981 loss_vf=0.002740 test_reward=0.671100 test_reward_std=0.086099 best_reward=0.708900 best_reward_std=0.061390 best_epoch=20
epoch=23 env_step=927360 gradient_step=7245 train_rew=0.673909 train_len=29 n_ep=22 n_st=640 loss=0.003145 loss_clip=0.001075 loss_ent=0.601301 loss_vf=0.005343 test_reward=0.679700 test_reward_std=0.058515 best_reward=0.708900 best_reward_std=0.061390 best_epoch=20
epoch=24 env_step=967680 gradient_step=7560 train_rew=0.655556 train_len=27 n_ep=18 n_st=640 loss=0.003538 loss_clip=0.001381 loss_ent=0.595153 loss_vf=0.005505 test_reward=0.665900 test_reward_std=0.113767 best_reward=0.708900 best_reward_std=0.061390 best_epoch=20
epoch=25 env_step=1008000 gradient_step=7875 train_rew=0.680080 train_len=26 n_ep=25 n_st=640 loss=0.000307 loss_clip=-0.000063 loss_ent=0.540681 loss_vf=0.001820 test_reward=0.688100 test_reward_std=0.077209 best_reward=0.708900 best_reward_std=0.061390 best_epoch=20
epoch=26 env_step=1048320 gradient_step=8190 train_rew=0.694500 train_len=26 n_ep=16 n_st=640 loss=0.003713 loss_clip=0.003116 loss_ent=0.479453 loss_vf=0.002152 test_reward=0.723100 test_reward_std=0.046285 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=27 env_step=1088640 gradient_step=8505 train_rew=0.696767 train_len=27 n_ep=30 n_st=640 loss=-0.001878 loss_clip=-0.002433 loss_ent=0.604560 loss_vf=0.002319 test_reward=0.695200 test_reward_std=0.057384 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=28 env_step=1128960 gradient_step=8820 train_rew=0.706611 train_len=26 n_ep=18 n_st=640 loss=0.002110 loss_clip=0.001215 loss_ent=0.498999 loss_vf=0.002790 test_reward=0.625500 test_reward_std=0.154089 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=29 env_step=1169280 gradient_step=9135 train_rew=0.707500 train_len=27 n_ep=26 n_st=640 loss=0.000412 loss_clip=-0.003610 loss_ent=0.470068 loss_vf=0.008984 test_reward=0.714200 test_reward_std=0.074533 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=30 env_step=1209600 gradient_step=9450 train_rew=0.691800 train_len=27 n_ep=25 n_st=640 loss=0.001311 loss_clip=-0.000327 loss_ent=0.540827 loss_vf=0.004357 test_reward=0.715400 test_reward_std=0.054626 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
epoch=31 env_step=1249920 gradient_step=9765 train_rew=0.667826 train_len=27 n_ep=23 n_st=640 loss=0.001926 loss_clip=0.000760 loss_ent=0.556661 loss_vf=0.003444 test_reward=0.668900 test_reward_std=0.086047 best_reward=0.723100 best_reward_std=0.046285 best_epoch=26
