epoch=18 env_step=36000 gradient_step=2250 train_rew=-0.274202 train_len=23 n_ep=0 n_st=16 loss=0.034523 loss_clip=0.000370 loss_ent=1.244207 loss_vf=0.070794 test_reward=-0.513130 test_reward_std=0.206323 best_reward=-0.357775 best_reward_std=0.175545 best_epoch=2
epoch=19 env_step=38000 gradient_step=2375 train_rew=-0.481543 train_len=16 n_ep=1 n_st=16 loss=0.006420 loss_clip=-0.001346 loss_ent=0.939071 loss_vf=0.017410 test_reward=-0.342944 test_reward_std=0.201980 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=20 env_step=40000 gradient_step=2500 train_rew=-0.229752 train_len=16 n_ep=0 n_st=16 loss=0.004867 loss_clip=0.000318 loss_ent=0.805556 loss_vf=0.010708 test_reward=-0.451278 test_reward_std=0.173843 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=21 env_step=42000 gradient_step=2625 train_rew=-0.448388 train_len=21 n_ep=0 n_st=16 loss=0.006081 loss_clip=0.000300 loss_ent=0.712106 loss_vf=0.012985 test_reward=-0.345167 test_reward_std=0.158521 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=22 env_step=44000 gradient_step=2750 train_rew=-0.884056 train_len=27 n_ep=1 n_st=16 loss=0.007129 loss_clip=0.000316 loss_ent=0.738936 loss_vf=0.015103 test_reward=-0.482700 test_reward_std=0.181389 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=23 env_step=46000 gradient_step=2875 train_rew=-0.414417 train_len=25 n_ep=2 n_st=16 loss=0.007094 loss_clip=0.000126 loss_ent=0.743192 loss_vf=0.015423 test_reward=-0.521774 test_reward_std=0.214481 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=24 env_step=48000 gradient_step=3000 train_rew=-0.407711 train_len=13 n_ep=1 n_st=16 loss=0.022413 loss_clip=0.002214 loss_ent=0.775923 loss_vf=0.041950 test_reward=-0.386249 test_reward_std=0.109833 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=25 env_step=50000 gradient_step=3125 train_rew=-0.070380 train_len=15 n_ep=0 n_st=16 loss=0.017543 loss_clip=0.002737 loss_ent=1.238524 loss_vf=0.032089 test_reward=-0.462055 test_reward_std=0.345701 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=26 env_step=52000 gradient_step=3250 train_rew=-0.221261 train_len=23 n_ep=2 n_st=16 loss=0.008983 loss_clip=0.000318 loss_ent=1.053630 loss_vf=0.019437 test_reward=-0.527880 test_reward_std=0.147421 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=27 env_step=54000 gradient_step=3375 train_rew=-0.229431 train_len=23 n_ep=1 n_st=16 loss=0.036648 loss_clip=0.003561 loss_ent=1.382086 loss_vf=0.068937 test_reward=-0.489290 test_reward_std=0.191491 best_reward=-0.342944 best_reward_std=0.201980 best_epoch=19
epoch=28 env_step=56000 gradient_step=3500 train_rew=-0.556080 train_len=23 n_ep=0 n_st=16 loss=0.052585 loss_clip=-0.001160 loss_ent=1.755091 loss_vf=0.111001 test_reward=-0.335398 test_reward_std=0.170697 best_reward=-0.335398 best_reward_std=0.170697 best_epoch=28
epoch=29 env_step=58000 gradient_step=3625 train_rew=-0.594925 train_len=13 n_ep=1 n_st=16 loss=0.062669 loss_clip=-0.002301 loss_ent=1.304684 loss_vf=0.132550 test_reward=-0.554246 test_reward_std=0.187533 best_reward=-0.335398 best_reward_std=0.170697 best_epoch=28
epoch=30 env_step=60000 gradient_step=3750 train_rew=-0.645849 train_len=25 n_ep=2 n_st=16 loss=0.014684 loss_clip=0.001929 loss_ent=1.015981 loss_vf=0.027543 test_reward=-0.479827 test_reward_std=0.248874 best_reward=-0.335398 best_reward_std=0.170697 best_epoch=28
