epoch=32 env_step=64000 gradient_step=4000 train_rew=0.700000 train_len=28 n_ep=1 n_st=16 loss=0.005959 loss_clip=0.000873 loss_ent=0.563663 loss_vf=0.011300 test_reward=0.667800 test_reward_std=0.128986 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=33 env_step=66000 gradient_step=4125 train_rew=0.453000 train_len=19 n_ep=0 n_st=16 loss=0.007712 loss_clip=-0.001023 loss_ent=0.560903 loss_vf=0.018591 test_reward=0.620700 test_reward_std=0.113620 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=34 env_step=68000 gradient_step=4250 train_rew=0.637000 train_len=26 n_ep=0 n_st=16 loss=0.010751 loss_clip=-0.000209 loss_ent=0.520471 loss_vf=0.022960 test_reward=0.599800 test_reward_std=0.088147 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=35 env_step=70000 gradient_step=4375 train_rew=0.439000 train_len=16 n_ep=1 n_st=16 loss=0.031497 loss_clip=-0.000595 loss_ent=0.544625 loss_vf=0.065274 test_reward=0.605700 test_reward_std=0.103573 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=36 env_step=72000 gradient_step=4500 train_rew=0.649000 train_len=23 n_ep=1 n_st=16 loss=0.007249 loss_clip=0.001375 loss_ent=0.633056 loss_vf=0.013014 test_reward=0.577900 test_reward_std=0.181993 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=37 env_step=74000 gradient_step=4625 train_rew=0.620000 train_len=26 n_ep=1 n_st=16 loss=0.003814 loss_clip=-0.001027 loss_ent=0.607458 loss_vf=0.010897 test_reward=0.535400 test_reward_std=0.121769 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=38 env_step=76000 gradient_step=4750 train_rew=0.652000 train_len=29 n_ep=2 n_st=16 loss=0.002900 loss_clip=-0.000027 loss_ent=0.698604 loss_vf=0.007250 test_reward=0.604000 test_reward_std=0.158896 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=39 env_step=78000 gradient_step=4875 train_rew=0.575000 train_len=15 n_ep=1 n_st=16 loss=0.004462 loss_clip=0.001242 loss_ent=0.690925 loss_vf=0.007822 test_reward=0.526800 test_reward_std=0.174969 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=40 env_step=80000 gradient_step=5000 train_rew=0.629000 train_len=32 n_ep=1 n_st=16 loss=0.003560 loss_clip=-0.001290 loss_ent=0.650062 loss_vf=0.011000 test_reward=0.622100 test_reward_std=0.133136 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=41 env_step=82000 gradient_step=5125 train_rew=0.449000 train_len=12 n_ep=1 n_st=16 loss=0.002145 loss_clip=-0.001140 loss_ent=0.578651 loss_vf=0.007727 test_reward=0.572100 test_reward_std=0.125663 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=42 env_step=84000 gradient_step=5250 train_rew=0.694000 train_len=23 n_ep=0 n_st=16 loss=0.002005 loss_clip=-0.000140 loss_ent=0.568586 loss_vf=0.005428 test_reward=0.567900 test_reward_std=0.094335 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=43 env_step=86000 gradient_step=5375 train_rew=0.580000 train_len=27 n_ep=0 n_st=16 loss=0.017306 loss_clip=-0.001153 loss_ent=0.538495 loss_vf=0.037996 test_reward=0.621000 test_reward_std=0.110786 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=44 env_step=88000 gradient_step=5500 train_rew=0.666000 train_len=33 n_ep=0 n_st=16 loss=0.006843 loss_clip=0.000411 loss_ent=0.600409 loss_vf=0.014065 test_reward=0.570500 test_reward_std=0.138600 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=45 env_step=90000 gradient_step=5625 train_rew=0.502000 train_len=20 n_ep=0 n_st=16 loss=0.005424 loss_clip=-0.000812 loss_ent=0.579869 loss_vf=0.013632 test_reward=0.644400 test_reward_std=0.117475 best_reward=0.667800 best_reward_std=0.128986 best_epoch=32
epoch=46 env_step=92000 gradient_step=5750 train_rew=0.678000 train_len=35 n_ep=0 n_st=16 loss=0.002592 loss_clip=-0.000353 loss_ent=0.613575 loss_vf=0.007117 test_reward=0.693000 test_reward_std=0.041929 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=47 env_step=94000 gradient_step=5875 train_rew=0.676000 train_len=28 n_ep=1 n_st=16 loss=0.002921 loss_clip=0.000387 loss_ent=0.571855 loss_vf=0.006212 test_reward=0.641800 test_reward_std=0.061452 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=48 env_step=96000 gradient_step=6000 train_rew=0.389000 train_len=18 n_ep=1 n_st=16 loss=0.001010 loss_clip=-0.000591 loss_ent=0.562434 loss_vf=0.004326 test_reward=0.635000 test_reward_std=0.097123 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
