epoch=12 env_step=483840 gradient_step=3780 train_rew=-0.157807 train_len=16 n_ep=42 n_st=640 loss=-0.000620 loss_clip=-0.002494 loss_ent=0.690994 loss_vf=0.005130 test_reward=-0.132680 test_reward_std=0.114095 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=13 env_step=524160 gradient_step=4095 train_rew=-0.166249 train_len=15 n_ep=40 n_st=640 loss=0.001253 loss_clip=0.000112 loss_ent=0.708484 loss_vf=0.003699 test_reward=-0.193844 test_reward_std=0.100100 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=14 env_step=564480 gradient_step=4410 train_rew=-0.189277 train_len=15 n_ep=55 n_st=640 loss=0.004244 loss_clip=0.002195 loss_ent=0.703693 loss_vf=0.005505 test_reward=-0.195090 test_reward_std=0.129889 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=15 env_step=604800 gradient_step=4725 train_rew=-0.132531 train_len=14 n_ep=38 n_st=640 loss=0.008813 loss_clip=0.006973 loss_ent=0.620506 loss_vf=0.004922 test_reward=-0.172063 test_reward_std=0.069062 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=16 env_step=645120 gradient_step=5040 train_rew=-0.167664 train_len=15 n_ep=44 n_st=640 loss=-0.003656 loss_clip=-0.004918 loss_ent=0.653780 loss_vf=0.003832 test_reward=-0.162190 test_reward_std=0.135785 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=17 env_step=685440 gradient_step=5355 train_rew=-0.172977 train_len=16 n_ep=32 n_st=640 loss=0.003759 loss_clip=0.000847 loss_ent=0.665225 loss_vf=0.007153 test_reward=-0.162763 test_reward_std=0.070566 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=18 env_step=725760 gradient_step=5670 train_rew=-0.165963 train_len=15 n_ep=44 n_st=640 loss=-0.006481 loss_clip=-0.008022 loss_ent=0.631755 loss_vf=0.004346 test_reward=-0.236447 test_reward_std=0.111055 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=19 env_step=766080 gradient_step=5985 train_rew=-0.170808 train_len=17 n_ep=31 n_st=640 loss=-0.001385 loss_clip=-0.002929 loss_ent=0.581679 loss_vf=0.004252 test_reward=-0.251023 test_reward_std=0.139900 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=20 env_step=806400 gradient_step=6300 train_rew=-0.173571 train_len=16 n_ep=31 n_st=640 loss=0.004572 loss_clip=0.000763 loss_ent=0.611065 loss_vf=0.008840 test_reward=-0.259602 test_reward_std=0.113384 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=21 env_step=846720 gradient_step=6615 train_rew=-0.172080 train_len=16 n_ep=47 n_st=640 loss=-0.004203 loss_clip=-0.007459 loss_ent=0.564800 loss_vf=0.007642 test_reward=-0.147798 test_reward_std=0.132312 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=22 env_step=887040 gradient_step=6930 train_rew=-0.177004 train_len=15 n_ep=46 n_st=640 loss=0.005959 loss_clip=0.004861 loss_ent=0.595073 loss_vf=0.003386 test_reward=-0.178326 test_reward_std=0.160980 best_reward=-0.132680 best_reward_std=0.114095 best_epoch=12
epoch=23 env_step=927360 gradient_step=7245 train_rew=-0.147801 train_len=14 n_ep=38 n_st=640 loss=0.000108 loss_clip=-0.000848 loss_ent=0.539745 loss_vf=0.002993 test_reward=-0.078851 test_reward_std=0.180437 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=24 env_step=967680 gradient_step=7560 train_rew=-0.161091 train_len=14 n_ep=47 n_st=640 loss=0.007579 loss_clip=0.005948 loss_ent=0.510816 loss_vf=0.004284 test_reward=-0.220870 test_reward_std=0.118156 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=25 env_step=1008000 gradient_step=7875 train_rew=-0.178408 train_len=15 n_ep=52 n_st=640 loss=0.003326 loss_clip=0.001502 loss_ent=0.457282 loss_vf=0.004562 test_reward=-0.094113 test_reward_std=0.156843 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=26 env_step=1048320 gradient_step=8190 train_rew=-0.168287 train_len=14 n_ep=36 n_st=640 loss=-0.000085 loss_clip=-0.001202 loss_ent=0.454192 loss_vf=0.003142 test_reward=-0.211106 test_reward_std=0.100099 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=27 env_step=1088640 gradient_step=8505 train_rew=-0.158362 train_len=14 n_ep=37 n_st=640 loss=0.008697 loss_clip=0.006946 loss_ent=0.483956 loss_vf=0.004470 test_reward=-0.146570 test_reward_std=0.083556 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=28 env_step=1128960 gradient_step=8820 train_rew=-0.127726 train_len=15 n_ep=40 n_st=640 loss=0.007602 loss_clip=0.006151 loss_ent=0.444528 loss_vf=0.003792 test_reward=-0.125606 test_reward_std=0.110784 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=29 env_step=1169280 gradient_step=9135 train_rew=-0.168709 train_len=15 n_ep=40 n_st=640 loss=0.002859 loss_clip=0.001794 loss_ent=0.479338 loss_vf=0.003088 test_reward=-0.186712 test_reward_std=0.142578 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=30 env_step=1209600 gradient_step=9450 train_rew=-0.136524 train_len=14 n_ep=46 n_st=640 loss=0.000169 loss_clip=-0.001538 loss_ent=0.490582 loss_vf=0.004396 test_reward=-0.159553 test_reward_std=0.113109 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=31 env_step=1249920 gradient_step=9765 train_rew=-0.163220 train_len=14 n_ep=47 n_st=640 loss=-0.000532 loss_clip=-0.001803 loss_ent=0.485300 loss_vf=0.003512 test_reward=-0.162725 test_reward_std=0.132356 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=32 env_step=1290240 gradient_step=10080 train_rew=-0.151640 train_len=15 n_ep=48 n_st=640 loss=0.005193 loss_clip=0.002284 loss_ent=0.461252 loss_vf=0.006741 test_reward=-0.223144 test_reward_std=0.162146 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=33 env_step=1330560 gradient_step=10395 train_rew=-0.164897 train_len=14 n_ep=32 n_st=640 loss=-0.000467 loss_clip=-0.001727 loss_ent=0.485888 loss_vf=0.003490 test_reward=-0.116435 test_reward_std=0.091907 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=34 env_step=1370880 gradient_step=10710 train_rew=-0.164137 train_len=15 n_ep=43 n_st=640 loss=0.001373 loss_clip=0.000325 loss_ent=0.470945 loss_vf=0.003038 test_reward=-0.235904 test_reward_std=0.074719 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=35 env_step=1411200 gradient_step=11025 train_rew=-0.133947 train_len=16 n_ep=33 n_st=640 loss=0.005860 loss_clip=0.004683 loss_ent=0.400360 loss_vf=0.003154 test_reward=-0.267850 test_reward_std=0.099380 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=36 env_step=1451520 gradient_step=11340 train_rew=-0.174158 train_len=15 n_ep=43 n_st=640 loss=0.000829 loss_clip=-0.001070 loss_ent=0.465914 loss_vf=0.004731 test_reward=-0.182605 test_reward_std=0.092984 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=37 env_step=1491840 gradient_step=11655 train_rew=-0.135049 train_len=16 n_ep=47 n_st=640 loss=0.001595 loss_clip=0.000267 loss_ent=0.496205 loss_vf=0.003649 test_reward=-0.185907 test_reward_std=0.220045 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=38 env_step=1532160 gradient_step=11970 train_rew=-0.149671 train_len=15 n_ep=44 n_st=640 loss=-0.000648 loss_clip=-0.001611 loss_ent=0.435474 loss_vf=0.002797 test_reward=-0.135837 test_reward_std=0.099917 best_reward=-0.078851 best_reward_std=0.180437 best_epoch=23
epoch=39 env_step=1572480 gradient_step=12285 train_rew=-0.157305 train_len=15 n_ep=40 n_st=640 loss=0.001559 loss_clip=-0.000097 loss_ent=0.408022 loss_vf=0.004128 test_reward=-0.068971 test_reward_std=0.144209 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
epoch=40 env_step=1612800 gradient_step=12600 train_rew=-0.128175 train_len=16 n_ep=34 n_st=640 loss=-0.000806 loss_clip=-0.001826 loss_ent=0.425410 loss_vf=0.002892 test_reward=-0.177250 test_reward_std=0.096913 best_reward=-0.068971 best_reward_std=0.144209 best_epoch=39
