epoch=1 env_step=2000 gradient_step=125 train_rew=-0.349350 train_len=30 n_ep=0 n_st=16 loss=0.841738 loss_clip=-0.000034 loss_ent=1.045596 loss_vf=1.685635 test_reward=-0.291830 test_reward_std=0.125961 best_reward=-0.205461 best_reward_std=0.216403 best_epoch=0
epoch=2 env_step=4000 gradient_step=250 train_rew=-0.399325 train_len=24 n_ep=1 n_st=16 loss=0.065153 loss_clip=0.003173 loss_ent=1.089388 loss_vf=0.126139 test_reward=-0.124986 test_reward_std=0.155138 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=3 env_step=6000 gradient_step=375 train_rew=-0.253096 train_len=24 n_ep=1 n_st=16 loss=0.033288 loss_clip=0.004208 loss_ent=1.128759 loss_vf=0.060417 test_reward=-0.267019 test_reward_std=0.222177 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=4 env_step=8000 gradient_step=500 train_rew=-0.389055 train_len=24 n_ep=1 n_st=16 loss=0.036151 loss_clip=0.001284 loss_ent=1.276315 loss_vf=0.072286 test_reward=-0.233813 test_reward_std=0.183314 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=5 env_step=10000 gradient_step=625 train_rew=-0.254807 train_len=34 n_ep=1 n_st=16 loss=0.022003 loss_clip=0.002332 loss_ent=1.428927 loss_vf=0.042200 test_reward=-0.270484 test_reward_std=0.220343 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=6 env_step=12000 gradient_step=750 train_rew=-0.539344 train_len=27 n_ep=1 n_st=16 loss=0.029768 loss_clip=-0.001225 loss_ent=1.252082 loss_vf=0.064492 test_reward=-0.204988 test_reward_std=0.148399 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=7 env_step=14000 gradient_step=875 train_rew=-0.529689 train_len=27 n_ep=1 n_st=16 loss=0.284169 loss_clip=-0.007602 loss_ent=1.048695 loss_vf=0.585639 test_reward=-0.127000 test_reward_std=0.272549 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=8 env_step=16000 gradient_step=1000 train_rew=-0.062099 train_len=19 n_ep=1 n_st=16 loss=0.014618 loss_clip=-0.001537 loss_ent=0.704935 loss_vf=0.033720 test_reward=-0.181318 test_reward_std=0.200187 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=9 env_step=18000 gradient_step=1125 train_rew=-0.095543 train_len=29 n_ep=0 n_st=16 loss=0.011828 loss_clip=0.001446 loss_ent=0.752063 loss_vf=0.022269 test_reward=-0.195003 test_reward_std=0.201447 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=10 env_step=20000 gradient_step=1250 train_rew=-0.599120 train_len=27 n_ep=1 n_st=16 loss=0.010916 loss_clip=0.003092 loss_ent=0.730963 loss_vf=0.017111 test_reward=-0.312303 test_reward_std=0.181670 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=11 env_step=22000 gradient_step=1375 train_rew=-0.286597 train_len=27 n_ep=1 n_st=16 loss=0.018858 loss_clip=-0.003567 loss_ent=0.728610 loss_vf=0.046308 test_reward=-0.271137 test_reward_std=0.162425 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=12 env_step=24000 gradient_step=1500 train_rew=-0.205124 train_len=28 n_ep=1 n_st=16 loss=0.083925 loss_clip=-0.001393 loss_ent=0.786459 loss_vf=0.172209 test_reward=-0.333998 test_reward_std=0.185646 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=13 env_step=26000 gradient_step=1625 train_rew=-0.181307 train_len=33 n_ep=0 n_st=16 loss=0.009356 loss_clip=0.002151 loss_ent=0.890584 loss_vf=0.016193 test_reward=-0.174969 test_reward_std=0.195042 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=14 env_step=28000 gradient_step=1750 train_rew=-0.250136 train_len=24 n_ep=0 n_st=16 loss=0.012377 loss_clip=0.003686 loss_ent=0.905630 loss_vf=0.019194 test_reward=-0.177371 test_reward_std=0.169594 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=15 env_step=30000 gradient_step=1875 train_rew=0.122523 train_len=23 n_ep=0 n_st=16 loss=0.004661 loss_clip=-0.000859 loss_ent=1.022240 loss_vf=0.013084 test_reward=-0.192091 test_reward_std=0.119951 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=16 env_step=32000 gradient_step=2000 train_rew=-0.222830 train_len=25 n_ep=2 n_st=16 loss=0.012313 loss_clip=-0.002832 loss_ent=0.993912 loss_vf=0.032277 test_reward=-0.213717 test_reward_std=0.166268 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
epoch=17 env_step=34000 gradient_step=2125 train_rew=-0.316349 train_len=19 n_ep=0 n_st=16 loss=0.050547 loss_clip=-0.000009 loss_ent=1.243332 loss_vf=0.103598 test_reward=-0.199250 test_reward_std=0.195102 best_reward=-0.124986 best_reward_std=0.155138 best_epoch=2
